['40.767', '-73.972'];[9654, 12305, 14904, 17856, 21873, 25573, 29776, 33768, 37453, 43119, 47439, 51809, 57159, 63306, 67551, 72181, 76876, 81803, 87028, 92384, 98308, 103208, 106763, 110465, 118302, 123146, 127352, 135572, 138700, 141235, 144190, 147297, 146576, 145855, 150473, 155113, 158258, 160489, 162338, 164841, 166159, 167478, 169690, 172354, 174331, 175651, 176874, 178351, 180216, 181783, 183289, 184417, 185357, 186123, 187250, 188545, 190357, 191600, 192593, 193230, 193821, 194550, 195675, 196484, 197266, 198123, 198731, 199301, 199968, 201051, 201999, 202751, 203303, 203764, 204377, 204872, 205406, 205940, 206511, 206969, 207353, 207693, 208118, 208517, 208954, 209493, 209878, 210259, 210591, 210941, 211260, 211670, 212061, 212446, 212741, 213056, 213348, 213699, 214070, 214434, 214750, 214939, 215059, 215179, 215475, 215902, 216362, 216730, 216969, 217216, 217488, 217777, 218052, 218403, 218710, 219051, 219301, 219616, 219982, 220367, 220734, 221121, 221419, 221703, 222094, 222444, 222832, 223192, 223532, 223761, 224051, 224249, 224551, 224863, 225148, 225460, 225723, 225964, 226280, 226581, 226914, 227258, 227584, 227832, 228069, 228343, 228729, 229167, 229534, 229916, 230223, 230458, 230742, 231015, 231288, 231574, 231841, 232120, 232334, 232565, 232825, 233140, 233410, 233688, 233969, 30874, 30900, 30937, 30991, 31050, 31104, 31143, 31177, 31199, 31232, 31277, 31341, 31415, 31480, 31540, 31579, 31626, 31699, 31748, 31808, 31868, 31916, 31951, 31980, 32041, 32097, 32173, 32238, 32312, 32352, 32371, 32391, 32451, 32542, 32640, 32736, 32821, 32870, 32903, 33011, 33095, 33180, 33265, 33344, 33395, 33432, 33525, 33647, 33755, 33874, 33994, 34063, 34121, 34250, 34381, 34526, 34691, 34803, 34882, 34958, 35117, 35286, 35466, 35627, 35778, 35859, 35968, 36164, 36371, 36636, 36925, 37176, 37396, 37604, 37986, 38376, 38762, 39165, 39529, 39756, 39963, 40398, 40792, 41222, 41663, 42078, 42323, 42559, 43062, 43533, 44050, 44263, 44529, 44795, 45189, 45515, 46030, 46699, 47307, 47899, 48416, 48711, 49035, 49645, 50256, 50898, 51507, 52163, 52533, 52958, 53594, 54279, 54853, 55316, 55977, 56390, 56768, 57492, 58123, 58714, 59183, 59386, 59804, 60281]
['40.741', '-73.589'];[1900, 2442, 2869, 3285, 3914, 4657, 5537, 6445, 7344, 8544, 9554, 10587, 12024, 13346, 14398, 15616, 16610, 18548, 20140, 21512, 22584, 23553, 24358, 25250, 26715, 27772, 28539, 29180, 30013, 30677, 31079, 31555, 31839, 32124, 32765, 33798, 34522, 34865, 35085, 35505, 35679, 35854, 36161, 36519, 36780, 36965, 37152, 37350, 37593, 37812, 38028, 38217, 38337, 38434, 38587, 38743, 38864, 39033, 39136, 39225, 39295, 39368, 39487, 39608, 39726, 39837, 39907, 39974, 40034, 40140, 40226, 40307, 40396, 40479, 40572, 40644, 40713, 40797, 40853, 40904, 40947, 40980, 41015, 41060, 41114, 41172, 41204, 41240, 41290, 41320, 41349, 41387, 41443, 41479, 41513, 41544, 41585, 41646, 41684, 41725, 41754, 41780, 41793, 41807, 41853, 41910, 41947, 41988, 42031, 42053, 42088, 42122, 42164, 42232, 42267, 42307, 42354, 42423, 42462, 42506, 42555, 42594, 42622, 42678, 42729, 42765, 42816, 42860, 42915, 42960, 43017, 43059, 43100, 43158, 43203, 43271, 43322, 43380, 43436, 43482, 43534, 43580, 43628, 43655, 43690, 43724, 43761, 43795, 43840, 43891, 43929, 43955, 44001, 44063, 44112, 44162, 44205, 44245, 44284, 44348, 44403, 44450, 44503, 44554, 44610, 44677, 44761, 44845, 44924, 45008, 45115, 45193, 45229, 45294, 45372, 45445, 45550, 45633, 45711, 45763, 45840, 45906, 45989, 46052, 46154, 46218, 46259, 46325, 46388, 46434, 46505, 46576, 46643, 46711, 46791, 46824, 46857, 46929, 47034, 47167, 47246, 47302, 47392, 47516, 47656, 47736, 47841, 47933, 47998, 48099, 48184, 48272, 48377, 48494, 48596, 48657, 48731, 48864, 48941, 49042, 49203, 49312, 49377, 49496, 49663, 49841, 50007, 50158, 50294, 50407, 50602, 50702, 50918, 51164, 51418, 51682, 51895, 52173, 52575, 52897, 53271, 53688, 54014, 54309, 54715, 55112, 55486, 55875, 56269, 56706, 57127, 57489, 57985, 58567, 59238, 59700, 60181, 60441, 60701, 61162, 61988, 62745, 63661, 64359, 65098, 65632, 66495, 67203, 67978, 68737, 69636, 70475, 71214, 72122, 72904, 73757, 74658, 75421, 76322, 77088, 77968, 78983, 80003, 81099, 82233, 83045, 84044, 85023, 86296]
['41.163', '-73.757'];[1873, 2894, 3891, 4691, 5944, 7187, 7875, 8519, 9326, 9967, 10683, 11567, 12351, 13081, 13723, 14294, 14294, 15887, 17004, 18077, 18729, 19313, 19786, 20191, 20947, 21828, 22476, 23179, 23803, 24306, 24656, 25276, 25617, 25959, 26633, 27231, 27664, 28007, 28245, 28626, 28798, 28970, 29232, 29626, 29884, 30097, 30240, 30426, 30708, 30905, 31087, 31294, 31384, 31472, 31611, 31792, 31943, 32097, 32224, 32323, 32402, 32517, 32673, 32767, 32881, 32968, 33049, 33107, 33186, 33293, 33349, 33429, 33481, 33552, 33633, 33691, 33767, 33854, 33924, 33954, 34000, 34035, 34076, 34106, 34175, 34253, 34290, 34327, 34358, 34385, 34409, 34455, 34486, 34521, 34557, 34581, 34597, 34642, 34700, 34748, 34780, 34798, 34818, 34838, 34866, 34912, 34980, 35020, 35043, 35084, 35106, 35154, 35183, 35226, 35260, 35297, 35327, 35366, 35394, 35422, 35463, 35503, 35515, 35551, 35587, 35636, 35667, 35700, 35738, 35777, 35799, 35838, 35874, 35913, 35933, 35974, 35998, 36014, 36049, 36075, 36107, 36136, 36180, 36205, 36233, 36272, 36324, 36357, 36402, 36435, 36453, 36486, 36540, 36563, 36586, 36621, 36651, 36689, 36710, 36742, 36780, 36825, 36863, 36895, 36949, 36984, 37021, 37057, 37106, 37152, 37205, 37246, 37277, 37314, 37355, 37405, 37454, 37486, 37531, 37571, 37601, 37634, 37672, 37718, 37755, 37801, 37837, 37866, 37903, 37948, 38001, 38051, 38098, 38133, 38182, 38210, 38239, 38300, 38346, 38431, 38475, 38515, 38567, 38628, 38694, 38771, 38847, 38894, 39001, 39064, 39118, 39200, 39288, 39398, 39476, 39548, 39616, 39694, 39789, 39890, 40041, 40131, 40202, 40322, 40438, 40554, 40681, 40800, 40946, 41061, 41226, 41360, 41542, 41720, 41954, 42179, 42454, 42696, 42940, 43292, 43656, 44093, 44346, 44576, 44975, 45335, 45672, 46064, 46469, 46841, 47262, 47632, 47964, 48441, 49102, 49646, 50110, 50401, 50693, 51220, 51790, 52418, 53186, 53944, 54671, 55187, 55797, 56372, 56995, 57606, 58244, 58837, 59431, 59991, 60540, 61111, 61827, 62405, 62940, 63373, 63909, 64560, 65137, 65851, 66405, 66837, 67388, 67931, 68702]
['40.883', '-72.801'];[1034, 1458, 1880, 2260, 2735, 3385, 4138, 5023, 5791, 6713, 7605, 8746, 10154, 11370, 13129, 14185, 15561, 17008, 18803, 20320, 20321, 20934, 21643, 22691, 23523, 24812, 25035, 26143, 26888, 28127, 28701, 28854, 29210, 29567, 30606, 31368, 32059, 32470, 32724, 33265, 33464, 33664, 34037, 34478, 34855, 35077, 35275, 35543, 35892, 36223, 36461, 36702, 36911, 37062, 37305, 37544, 37719, 37942, 38117, 38224, 38327, 38411, 38553, 38672, 38802, 38964, 39090, 39199, 39258, 39359, 39445, 39532, 39643, 39705, 39980, 40062, 40153, 40239, 40278, 40329, 40377, 40426, 40464, 40512, 40559, 40615, 40659, 40692, 40738, 40770, 40810, 40864, 40908, 40972, 41010, 41056, 41101, 41151, 41208, 41253, 41306, 41339, 41362, 41385, 41427, 41491, 41538, 41585, 41642, 41685, 41730, 41799, 41849, 41911, 41987, 42028, 42112, 42214, 42267, 42333, 42382, 42440, 42466, 42496, 42575, 42621, 42715, 42773, 42822, 42883, 42967, 43024, 43084, 43170, 43224, 43300, 43345, 43395, 43468, 43553, 43630, 43681, 43749, 43786, 43844, 43893, 43948, 43987, 44045, 44109, 44159, 44185, 44235, 44305, 44353, 44400, 44456, 44498, 44519, 44561, 44605, 44641, 44678, 44712, 44763, 44820, 44885, 44940, 45006, 45102, 45200, 45258, 45304, 45356, 45411, 45463, 45534, 45615, 45683, 45714, 45785, 45843, 45915, 45956, 46010, 46061, 46109, 46176, 46208, 46241, 46293, 46345, 46387, 46428, 46464, 46490, 46517, 46563, 46667, 46770, 46842, 46891, 46980, 47089, 47196, 47285, 47357, 47431, 47493, 47561, 47630, 47711, 47815, 47941, 48029, 48080, 48121, 48234, 48308, 48399, 48562, 48663, 48717, 48829, 48998, 49198, 49300, 49398, 49538, 49604, 49780, 49854, 50033, 50210, 50469, 50728, 51052, 51332, 51744, 52065, 52493, 52942, 53308, 53653, 54055, 54485, 54916, 55329, 55807, 56339, 56865, 57366, 57909, 58562, 59273, 59810, 60414, 60743, 61072, 61681, 62647, 63758, 64929, 65993, 67112, 67860, 69024, 69996, 71043, 72118, 73281, 74367, 75454, 76625, 77681, 78850, 80047, 80989, 82134, 83112, 84146, 85385, 86715, 87985, 89257, 90142, 91179, 92391, 94041]
['41.15', '-74.026'];[455, 592, 671, 968, 1197, 1457, 1896, 2209, 2511, 2863, 3321, 3751, 4289, 4872, 5326, 5703, 5990, 6413, 6665, 7122, 7477, 7721, 7965, 8335, 8474, 8752, 8987, 9171, 9364, 9457, 9568, 9699, 9763, 9828, 10091, 11091, 11256, 11366, 11453, 11586, 11647, 11708, 11812, 11945, 12025, 12095, 12144, 12204, 12280, 12349, 12400, 12451, 12484, 12504, 12543, 12596, 12637, 12688, 12758, 12777, 12798, 12831, 12877, 12905, 12934, 12963, 12996, 13019, 13047, 13076, 13100, 13128, 13151, 13185, 13223, 13259, 13280, 13297, 13315, 13325, 13340, 13353, 13372, 13385, 13396, 13411, 13423, 13441, 13460, 13467, 13474, 13486, 13495, 13504, 13514, 13529, 13534, 13549, 13557, 13566, 13576, 13580, 13585, 13590, 13602, 13612, 13623, 13629, 13648, 13656, 13668, 13679, 13683, 13691, 13700, 13716, 13719, 13733, 13743, 13763, 13775, 13784, 13793, 13798, 13806, 13812, 13820, 13830, 13837, 13839, 13841, 13845, 13852, 13860, 13864, 13880, 13882, 13885, 13893, 13903, 13918, 13925, 13936, 13942, 13949, 13954, 13966, 13973, 13981, 13997, 14007, 14011, 14053, 14067, 14089, 14106, 14118, 14129, 14139, 14149, 14161, 14183, 14197, 14218, 14233, 14255, 14271, 14305, 14334, 14358, 14382, 14396, 14418, 14439, 14459, 14480, 14510, 14530, 14547, 14581, 14617, 14660, 14698, 14747, 14801, 14823, 14833, 14891, 14954, 14998, 15045, 15100, 15167, 15277, 15342, 15397, 15452, 15636, 15849, 15973, 16016, 16071, 16190, 16256, 16454, 16599, 16690, 16717, 16760, 16829, 16891, 16972, 17063, 17125, 17171, 17207, 17269, 17453, 17524, 17581, 17635, 17685, 17760, 17832, 17943, 18024, 18110, 18192, 18265, 18353, 18466, 18581, 18683, 18756, 18854, 18910, 18995, 19133, 19277, 19414, 19567, 19723, 19843, 19904, 20044, 20176, 20263, 20351, 20511, 20602, 20708, 20824, 20942, 21111, 21258, 21378, 21502, 21567, 21632, 21845, 22048, 22221, 22421, 22633, 22800, 22897, 23072, 23308, 23505, 23680, 23849, 23991, 24183, 24334, 24555, 24787, 24983, 25124, 25275, 25413, 25579, 25839, 26048, 26291, 26433, 26570, 26707, 26926, 27193]
['41.403', '-74.302'];[247, 389, 498, 638, 751, 910, 1101, 1247, 1435, 1556, 1756, 1993, 2397, 2741, 3187, 3533, 3829, 4075, 4309, 4532, 4847, 5027, 5598, 5830, 5830, 6266, 6514, 6514, 6514, 6514, 7029, 7152, 6984, 6816, 7155, 7973, 8106, 8238, 8374, 8488, 8569, 8650, 8751, 8910, 8967, 9015, 9144, 9215, 9328, 9402, 9486, 9543, 9584, 9632, 9693, 9771, 9825, 9879, 9943, 9965, 9988, 10043, 10092, 10142, 10197, 10225, 10244, 10277, 10292, 10325, 10361, 10389, 10406, 10422, 10449, 10460, 10471, 10484, 10508, 10514, 10523, 10533, 10541, 10550, 10558, 10563, 10571, 10573, 10580, 10599, 10604, 10620, 10638, 10648, 10654, 10666, 10669, 10679, 10698, 10710, 10713, 10744, 10733, 10723, 10730, 10744, 10759, 10766, 10775, 10781, 10798, 10806, 10810, 10820, 10830, 10835, 10841, 10850, 10878, 10895, 10908, 10921, 10931, 10938, 10953, 10960, 10968, 10976, 10994, 10998, 11010, 11024, 11034, 11072, 11082, 11088, 11093, 11096, 11105, 11113, 11127, 11129, 11156, 11159, 11168, 11180, 11191, 11210, 11217, 11229, 11254, 11256, 11269, 11282, 11292, 11316, 11328, 11334, 11343, 11354, 11366, 11382, 11399, 11410, 11418, 11433, 11445, 11460, 11478, 11487, 11504, 11515, 11525, 11535, 11552, 11572, 11594, 11611, 11635, 11652, 11676, 11711, 11734, 11760, 11790, 11812, 11822, 11835, 11851, 11890, 11955, 12014, 12036, 12062, 12122, 12132, 12143, 12199, 12273, 12360, 12394, 12438, 12493, 12563, 12664, 12748, 12798, 12842, 12869, 12930, 12983, 13033, 13098, 13139, 13169, 13182, 13218, 13258, 13303, 13342, 13413, 13457, 13475, 13548, 13597, 13672, 13743, 13833, 13889, 13933, 13998, 14055, 14135, 14221, 14301, 14369, 14465, 14553, 14701, 14803, 14910, 15031, 15124, 15182, 15283, 15412, 15566, 15677, 15799, 15703, 15857, 16047, 16304, 16304, 16460, 16460, 16460, 16707, 16954, 17138, 17349, 17578, 17840, 17840, 17840, 18354, 18564, 18742, 18971, 19143, 19143, 19143, 19689, 19892, 20114, 20324, 20717, 20876, 21072, 21148, 21327, 21549, 21822, 22032, 22213, 22342, 22506, 22683, 23019]
['43.146', '-77.693'];[68, 81, 106, 118, 148, 166, 202, 219, 246, 257, 349, 420, 464, 512, 548, 574, 596, 651, 698, 742, 767, 798, 823, 850, 884, 932, 975, 1008, 1032, 1054, 1070, 1112, 1132, 1152, 1199, 1285, 1316, 1331, 1371, 1404, 1422, 1441, 1478, 1534, 1566, 1595, 1623, 1655, 1688, 1735, 1775, 1821, 1850, 1890, 1959, 2019, 2091, 2192, 2258, 2303, 2376, 2465, 2530, 2601, 2661, 2697, 2733, 2762, 2791, 2824, 2860, 2909, 2942, 2964, 2989, 3048, 3081, 3117, 3167, 3190, 3203, 3243, 3255, 3293, 3320, 3340, 3370, 3380, 3402, 3418, 3439, 3461, 3487, 3498, 3512, 3540, 3567, 3602, 3641, 3676, 3690, 3709, 3725, 3742, 3780, 3833, 3885, 3922, 3953, 3974, 4004, 4046, 4074, 4120, 4153, 4177, 4200, 4247, 4281, 4317, 4353, 4383, 4401, 4422, 4452, 4492, 4511, 4537, 4569, 4591, 4620, 4632, 4656, 4677, 4710, 4742, 4768, 4790, 4821, 4841, 4868, 4901, 4922, 4956, 4976, 5002, 5035, 5079, 5122, 5143, 5165, 5183, 5213, 5241, 5256, 5273, 5297, 5317, 5330, 5348, 5364, 5385, 5398, 5422, 5443, 5452, 5462, 5468, 5502, 5529, 5551, 5572, 5585, 5602, 5615, 5648, 5676, 5712, 5727, 5764, 5793, 5809, 5839, 5857, 5876, 5894, 5911, 5925, 5940, 5970, 5985, 6002, 6026, 6045, 6074, 6079, 6085, 6121, 6160, 6186, 6206, 6220, 6248, 6266, 6316, 6349, 6387, 6421, 6453, 6490, 6516, 6572, 6628, 6671, 6707, 6744, 6798, 6850, 6917, 6992, 7070, 7111, 7174, 7256, 7312, 7386, 7493, 7597, 7705, 7817, 7923, 8025, 8237, 8398, 8616, 8824, 8957, 9241, 9514, 9763, 10074, 10329, 10453, 10680, 10891, 11148, 11444, 11733, 12092, 12406, 12771, 13054, 13417, 13817, 14338, 14703, 15138, 15399, 15660, 16060, 16588, 17127, 17910, 18453, 19074, 19518, 19871, 20648, 21267, 21833, 22553, 23203, 23745, 24293, 24946, 25643, 26389, 27059, 27748, 28319, 28762, 29477, 30051, 30651, 31077, 31459, 31999, 32457, 33059]
['42.762', '-78.731'];[56, 87, 114, 122, 206, 245, 318, 414, 443, 499, 582, 617, 734, 808, 1059, 1148, 1234, 1335, 1432, 1498, 1506, 1571, 1661, 1730, 1812, 1951, 2023, 2023, 2192, 2192, 2284, 2284, 2367, 2450, 2603, 2773, 2954, 3021, 3089, 3196, 3257, 3319, 3481, 3598, 3710, 3802, 3891, 4008, 4136, 4255, 4337, 4453, 4483, 4530, 4606, 4671, 4782, 4867, 4954, 4993, 5037, 5131, 5270, 5397, 5552, 5626, 5700, 5753, 5810, 5886, 5935, 6014, 6070, 6123, 6173, 6234, 6308, 6359, 6429, 6486, 6531, 6595, 6616, 6659, 6717, 6753, 6785, 6817, 6852, 6882, 6920, 6955, 6980, 7004, 7035, 7073, 7108, 7138, 7181, 7206, 7228, 7249, 7270, 7292, 7337, 7370, 7427, 7462, 7475, 7500, 7544, 7596, 7624, 7660, 7711, 7742, 7766, 7833, 7891, 7927, 7982, 8016, 8035, 8046, 8106, 8135, 8187, 8234, 8282, 8301, 8327, 8364, 8410, 8434, 8492, 8548, 8572, 8626, 8667, 8702, 8737, 8791, 8850, 8904, 8918, 8987, 9013, 9033, 9064, 9114, 9147, 9157, 9187, 9241, 9283, 9364, 9413, 9465, 9491, 9546, 9589, 9668, 9713, 9741, 9807, 9872, 9947, 10017, 10086, 10156, 10212, 10266, 10320, 10346, 10394, 10444, 10503, 10567, 10637, 10668, 10716, 10752, 10833, 10873, 10917, 10999, 11042, 11082, 11112, 11201, 11251, 11308, 11342, 11359, 11445, 11472, 11500, 11574, 11637, 11697, 11767, 11798, 11864, 11898, 11953, 11998, 12055, 12107, 12154, 12182, 12216, 12269, 12324, 12393, 12451, 12468, 12513, 12574, 12650, 12705, 12782, 12819, 12855, 12971, 13021, 13161, 13262, 13414, 13531, 13584, 13748, 13908, 14123, 14338, 14717, 14988, 15216, 15606, 16028, 16540, 17021, 17469, 17746, 18018, 18410, 18983, 19473, 20103, 20554, 21075, 21572, 21873, 22558, 23071, 23933, 24440, 24942, 25184, 25427, 26042, 26518, 27110, 27903, 28681, 29337, 29720, 30073, 30719, 31282, 32015, 32489, 33009, 33397, 33793, 34181, 34757, 35507, 35953, 36400, 36788, 37214, 37755, 38196, 38852, 39183, 39486, 39874, 40256, 40585]
['43.005', '-76.2'];[45, 53, 60, 81, 111, 123, 146, 194, 228, 249, 277, 301, 322, 349, 364, 377, 397, 422, 422, 456, 456, 494, 520, 537, 563, 579, 598, 598, 637, 646, 646, 667, 633, 600, 639, 664, 692, 726, 742, 782, 807, 832, 860, 903, 952, 971, 1002, 1056, 1115, 1169, 1218, 1265, 1287, 1308, 1395, 1423, 1440, 1469, 1501, 1520, 1665, 1718, 1771, 1828, 1904, 1953, 1981, 2012, 2033, 2054, 2092, 2133, 2170, 2197, 2228, 2256, 2295, 2329, 2375, 2392, 2408, 2427, 2433, 2454, 2474, 2498, 2519, 2531, 2545, 2558, 2615, 2634, 2644, 2666, 2675, 2702, 2734, 2751, 2782, 2791, 2816, 2822, 2832, 2842, 2863, 2897, 2909, 2928, 2949, 2963, 2997, 3029, 3050, 3078, 3100, 3124, 3142, 3179, 3203, 3225, 3240, 3262, 3278, 3290, 3312, 3326, 3344, 3360, 3378, 3389, 3398, 3419, 3437, 3459, 3464, 3477, 3485, 3490, 3515, 3525, 3535, 3556, 3565, 3576, 3585, 3602, 3613, 3627, 3646, 3663, 3674, 3680, 3696, 3712, 3719, 3743, 3756, 3758, 3768, 3792, 3801, 3832, 3847, 3866, 3883, 3892, 3912, 3922, 3937, 3947, 3964, 3983, 3993, 4002, 4012, 4023, 4043, 4060, 4081, 4096, 4114, 4133, 4158, 4185, 4201, 4220, 4231, 4253, 4270, 4300, 4321, 4342, 4365, 4379, 4409, 4416, 4424, 4456, 4494, 4528, 4537, 4556, 4593, 4636, 4669, 4693, 4747, 4779, 4807, 4843, 4880, 4908, 4946, 4977, 5011, 5021, 5052, 5121, 5170, 5222, 5277, 5309, 5337, 5399, 5454, 5498, 5603, 5696, 5762, 5795, 5881, 6001, 6122, 6257, 6396, 6491, 6576, 6826, 7021, 7211, 7421, 7650, 7749, 7892, 8084, 8301, 8494, 8735, 8947, 9160, 9362, 9470, 9785, 10024, 10248, 10480, 10701, 10752, 10804, 10995, 11281, 11657, 11933, 12358, 12662, 12941, 13188, 13598, 13945, 14397, 14772, 15182, 15481, 15722, 16054, 16429, 16860, 17267, 17586, 17860, 18081, 18351, 18822, 19155, 19452, 19567, 19985, 20278, 20658]
['47.491', '-121.835'];[1040, 1170, 1170, 1359, 1577, 1577, 2077, 2159, 2161, 2330, 2330, 2656, 2787, 2898, 3167, 3331, 3486, 3688, 3886, 4117, 4262, 4426, 4426, 4549, 4620, 4697, 4902, 4902, 5174, 5174, 5293, 5379, 5455, 5532, 5637, 5739, 5863, 5945, 6001, 6103, 6155, 6207, 6274, 6351, 6449, 6545, 6621, 6704, 6809, 6863, 6947, 7007, 7068, 7137, 7212, 7290, 7325, 7426, 7472, 7515, 7565, 7602, 7630, 7669, 7669, 7783, 7826, 7835, 7863, 7923, 7949, 7993, 8092, 8244, 8289, 8339, 8387, 8441, 8481, 8516, 8546, 8567, 8587, 8631, 8710, 8749, 8813, 8867, 8899, 8989, 9061, 9155, 9215, 9249, 9374, 9454, 9574, 9678, 9816, 9898, 10053, 10174, 10256, 10338, 10547, 10682, 10781, 10954, 11127, 11190, 11298, 11440, 11579, 11686, 11847, 12122, 12241, 12346, 12590, 12742, 12934, 13148, 13315, 13482, 13632, 13844, 14038, 14251, 14416, 14578, 14720, 14864, 15040, 15220, 15412, 15506, 15615, 15736, 15876, 16095, 16216, 16423, 16564, 16702, 16801, 16928, 17109, 17304, 17498, 17625, 17732, 17892, 18075, 18326, 18468, 18682, 18788, 18920, 18980, 19101, 19287, 19455, 19591, 19692, 19784, 19829, 19920, 20030, 20172, 20309, 20388, 20473, 20497, 20558, 20667, 20796, 20923, 21005, 21052, 21099, 21189, 21291, 21406, 21531, 21602, 21666, 21704, 21793, 21903, 22024, 22152, 22258, 22351, 22396, 22529, 22625, 22722, 22945, 23116, 23221, 23320, 23417, 23560, 23763, 23937, 24042, 24274, 24375, 24506, 24683, 24816, 24987, 25202, 25341, 25464, 25559, 25777, 25961, 26159, 26418, 26607, 26787, 26870, 27081, 27340, 27667, 28047, 28266, 28540, 28651, 29344, 29651, 30202, 30752, 31220, 31545, 31872, 32287, 32888, 33442, 34206, 34833, 35315, 36085, 36323, 36891, 37582, 38086, 38877, 40107, 40974, 41852, 42601, 43237, 43777, 44328, 44820, 45196, 45573, 46204, 46546, 47007, 47573, 47952, 49763, 50700, 51374, 52176, 52948, 53761, 54428, 55034, 55373, 55637, 55637, 56268, 57134, 57783, 57783, 58747, 58968, 59383, 59894, 59894, 60693, 60693, 61148, 61455, 61710]
